232.0,-180.0,6
224.0,-180.0,6
220.55408,-173.3108,6
216.87842,-166.17567,6
213.20276,-159.04054,6
209.5271,-151.90541,6
205.85144,-144.77028,6
202.17578,-137.63515,6
198.50012,-130.50002,6
194.82446,-123.36488,6
191.1488,-116.22975,6
190.0,-119.0,6
190.0,-127.0,6
190.0,-135.0,6
190.0,-143.0,6
190.0,-151.0,6
190.0,-159.0,6
190.0,-167.0,6
190.0,-175.0,6
187.5,-180.0,6
180.0,-180.0,6
180.0,-172.0,6
180.0,-164.0,6
180.0,-156.0,6
180.0,-148.0,6
180.0,-140.0,6
180.0,-132.0,6
180.0,-124.0,6
180.0,-116.0,6
180.0,-108.0,6
182.5,-103.0,6
190.5,-103.0,6
196.36766,-105.69119,6
200.01476,-112.86771,6
203.66185,-120.04418,6
207.30894,-127.220634,6
210.95604,-134.3971,6
214.37518,-141.12502,6
218.02228,-148.30147,6
221.66937,-155.47795,6
225.31647,-162.65443,6
226.0,-158.0,6
226.0,-150.0,6
226.0,-142.0,6
226.0,-134.0,6
226.0,-126.0,6
226.0,-118.0,6
226.0,-110.0,6
226.5,-103.0,6
234.5,-103.0,6
236.0,-109.0,6
236.0,-117.0,6
236.0,-125.0,6
236.0,-133.0,6
236.0,-141.0,6
236.0,-149.0,6
236.0,-157.0,6
236.0,-165.0,6
236.0,-173.0,6
236.0,-180.0,6
302.0,-176.0,6
302.0,-168.0,6
302.0,-160.0,6
302.0,-152.0,6
302.0,-144.0,6
302.0,-136.0,6
302.0,-128.0,6
302.0,-120.0,6
302.0,-112.0,6
294.5,-112.0,6
286.5,-112.0,6
278.5,-112.0,6
277.0,-106.0,6
281.5,-103.0,6
289.5,-103.0,6
297.5,-103.0,6
305.5,-103.0,6
313.5,-103.0,6
321.5,-103.0,6
329.5,-103.0,6
337.5,-103.0,6
339.0,-109.0,6
334.5,-112.0,6
326.5,-112.0,6
318.5,-112.0,6
313.0,-114.0,6
313.0,-122.0,6
313.0,-130.0,6
313.0,-138.0,6
313.0,-146.0,6
313.0,-154.0,6
313.0,-162.0,6
313.0,-170.0,6
313.0,-178.0,6
307.5,-180.0,6
302.0,-180.0,6
397.0,-176.0,6
397.0,-168.0,6
397.0,-160.0,6
397.0,-152.0,6
397.0,-144.0,6
397.0,-136.0,6
397.0,-128.0,6
397.0,-120.0,6
397.0,-112.0,6
389.5,-112.0,6
381.5,-112.0,6
373.5,-112.0,6
372.0,-106.0,6
376.5,-103.0,6
384.5,-103.0,6
392.5,-103.0,6
400.5,-103.0,6
408.5,-103.0,6
416.5,-103.0,6
424.5,-103.0,6
432.5,-103.0,6
434.0,-109.0,6
429.5,-112.0,6
421.5,-112.0,6
413.5,-112.0,6
408.0,-114.0,6
408.0,-122.0,6
408.0,-130.0,6
408.0,-138.0,6
408.0,-146.0,6
408.0,-154.0,6
408.0,-162.0,6
408.0,-170.0,6
408.0,-178.0,6
402.5,-180.0,6
397.0,-180.0,6
